lag_months,correlation,abs_correlation
0,0.07556964605247718,0.07556964605247718
1,0.07200960192254309,0.07200960192254309
2,0.0539035609846685,0.0539035609846685
3,0.03688401764497262,0.03688401764497262
4,0.04436803383719296,0.04436803383719296
5,0.04891362016010332,0.04891362016010332
6,0.05845164937662941,0.05845164937662941
7,0.06844527808688937,0.06844527808688937
8,0.06604675848805834,0.06604675848805834
9,0.055695791485448794,0.055695791485448794
10,0.05067779133430709,0.05067779133430709
11,0.057414424059169605,0.057414424059169605
12,0.055747596400757465,0.055747596400757465
